raw_name,proposed_name,cardmarket_product_id,confidence,status,observed_price
Pokemon TCG - Scarlet & Violet - Battle Partners (SV9) - Booster Pack (Japaniksi),Battle Partners Booster,804826,0.95,mapped,2.95
Pokemon TCG - Scarlet & Violet - Clay Burst (SV2D) - Booster Box (Japaniksi),Clay Burst Booster Box,702933,0.95,mapped,111.95
Pokemon TCG - Scarlet & Violet - Clay Burst (SV2D) - Booster Pack (Japaniksi),Clay Burst Booster,702931,0.95,mapped,2.95
Pokemon TCG - Scarlet & Violet - Crimson Haze (SV5a) - Booster Box (Japaniksi),Crimson Haze Booster Box,757141,0.95,mapped,121.95
Pokemon TCG - Scarlet & Violet - Crimson Haze (SV5a) - Booster Pack (Japaniksi),Crimson Haze Booster,757140,0.95,mapped,3.95
Pokemon TCG - Scarlet & Violet - Destined Rivals (SV10) - Booster Box (Englanniksi),Destined Rivals Booster Box,818574,0.95,mapped,403.95
Pokemon TCG - Scarlet & Violet - Destined Rivals (SV10) - Booster Pack (Englanniksi),Destined Rivals Booster,818570,0.95,mapped,9.95
Pokemon TCG - Scarlet & Violet - Gem Pack Vol. 4 (CBB4C) - Booster Box (Yksinkertaistettu Kiina),CBB4C: Gem Pack Vol. 4 Booster Box,866295,0.95,mapped,41.95
Pokemon TCG - Scarlet & Violet - Gem Pack Vol. 4 (CBB4C) - Booster Pack (Yksinkertaistettu Kiina),CBB4C: Gem Pack Vol. 4 Booster,866296,0.95,mapped,2.95
Pokemon TCG - Scarlet & Violet - Gem Pack Vol. 5 (CBB5C) - Booster Box (Yksinkertaistettu Kiina),CBB5C: Gem Pack Vol. 5 Booster Box,880331,0.95,mapped,52.95
Pokemon TCG - Scarlet & Violet - Gem Pack Vol. 5 (CBB5C) - Booster Pack (Yksinkertaistettu Kiina),CBB5C: Gem Pack Vol. 5 Booster,880327,0.95,mapped,2.95
Pokemon TCG - Scarlet & Violet - Glory of Team Rocket (SV10) - Booster Pack (Japaniksi),The Glory of Team Rocket Booster,818037,0.95,mapped,6.95
Pokemon TCG - Scarlet & Violet - Raging Surf (SV3a) - Booster Box (Japaniksi),Raging Surf Booster Box,726556,0.95,mapped,132.95
Pokemon TCG - Scarlet & Violet - Raging Surf (SV3a) - Booster Pack (Japaniksi),Raging Surf Booster,726557,0.95,mapped,3.95
Pokemon TCG - Scarlet & Violet - Ruler of the Black Flame (SV3) - Booster Box (Japanese,Ruler of the Black Flame Booster Box,719790,0.95,mapped,180.95
Pokemon TCG - Scarlet & Violet - Ruler of the Black Flame (SV3) - Booster Pack (Japaniksi),Ruler of the Black Flame Booster,719787,0.95,mapped,4.95
Pokemon TCG - Scarlet & Violet - Snow Hazard (SV2P) - Booster Box (Japaniksi),Snow Hazard Booster Box,702932,0.95,mapped,97.95
Pokemon TCG - Scarlet & Violet - Snow Hazard (SV2P) - Booster Pack (Japaniksi),Snow Hazard Booster,702930,0.95,mapped,3.95
Pokemon TCG - Scarlet & Violet - Stellar Crystal (CSV9C) - Booster Box (Yksinkertaistettu Kiina),CSV9C: Stellar Crystal Booster Box,885520,0.95,mapped,41.95
Pokemon TCG - Scarlet & Violet - Stellar Crystal (CSV9C) - Booster Pack (Yksinkertaistettu Kiina),CSV9C: Stellar Crystal Booster,885518,0.95,mapped,2.95
Pokemon TCG - Scarlet & Violet - Super Electric Breaker (SV8) - Booster Box (Japaniksi),Super Electric Breaker Booster Box,789976,0.95,mapped,243.95
Pokemon TCG - Scarlet & Violet - Super Electric Breaker (SV8) - Booster Pack (Japaniksi),Super Electric Breaker Booster,789975,0.95,mapped,6.95
Pokemon TCG - Sword & Shield - Space Juggler (S10P) - Booster Box (Japaniksi),Space Juggler Booster Box,611243,0.95,mapped,111.95
Pokemon TCG - Sword & Shield - Space Juggler (S10P) - Booster Pack (Japaniksi),,,0.90,null_mapped,4.95
Pokemon TCG - Sword & Shield - Star Birth (S9) - Booster Box (Japaniksi),Star Birth Booster Box,605851,0.95,mapped,139.95
Pokemon TCG - Sword & Shield - Star Birth (S9) - Booster Pack (Japaniksi),Star Birth Booster,605850,0.95,mapped,4.95
Pokemon TCG - Sword & Shield - Time Gazer (S10D) - Booster Box (Japaniksi),Time Gazer Booster Box,611242,0.95,mapped,118.95
Pokemon TCG - Sword & Shield - Time Gazer (S10D) - Booster Pack (Japaniksi),,,0.90,null_mapped,4.95
Pokemon TCG 2025 World Championships Deck,,867800,0.45,undecided,34.90
Pokemon TCG Blister 3P ME04  keräilykortit,,877290,0.50,undecided,21.90
Pokemon TCG Box Premium EX Mega Zygarde  keräilykortit,Mega Zygarde ex Premium Collection,873312,0.90,mapped,59.90
Pokemon TCG Calyrex VMAX League Battle Deck Q2 2022,Shadow Rider Calyrex VMAX League Battle Deck,650945,0.85,mapped,54.99
Pokemon TCG League Battle Deck keräilykortit,,877299,0.45,undecided,49.90
Pokemon TCG ME03 Perfect Order Elite Trainer Box keräilykortit,Perfect Order Elite Trainer Box,865406,0.95,mapped,69.90
Pokemon TCG ME04 Checklane keräilykortit,,877285,0.50,undecided,7.99
Pokemon TCG ME04 Elite Trainer Box keräilykortit,Chaos Rising Elite Trainer Box,877294,0.92,mapped,69.90
Pokemon TCG ME04 Premium Checklane  keräilykortit,,877289,0.50,undecided,9.99
Pokemon TCG ME4 Chaos Rising Booster keräilykortit,Chaos Rising Booster,877296,0.95,mapped,5.49
Pokemon TCG S-Chinese Charizard Display Blind Box,,,0.90,null_mapped,28.61
Pokemon TCG S-Chinese Eevee Display Blind Box,,,0.90,null_mapped,28.61
Pokemon TCG S-Chinese Gengar Display Blind Box,,,0.90,null_mapped,28.61
