raw_name,proposed_name,cardmarket_product_id,confidence,status,observed_price
PokémonScarlet & Violet 10.5: Black Bolt & White Flare Unova Poster Collection,Black Bolt & White Flare: Unova Poster Collection,824096,0.95,mapped,34.59
PokémonScarlet & Violet 10.5: Black Bolt Binder Collection,Black Bolt Binder Collection,824094,0.95,mapped,54.59
PokémonScarlet & Violet 10.5: Black Bolt Booster Bundle (6-pack),Black Bolt Booster Bundle,824107,0.95,mapped,48.90
PokémonScarlet & Violet 10.5: Black Bolt Tech Sticker Collection,Black Bolt: Reuniclus Tech Sticker Collection,829736,0.90,mapped,27.29
PokémonScarlet & Violet 10.5: Black Bolt Zekrom Elite Trainer Box,Black Bolt Elite Trainer Box,824088,0.95,mapped,71.90
PokémonScarlet & Violet 10.5: White Flair Binder Collection,White Flare Binder Collection,824095,0.90,mapped,54.59
PokémonScarlet & Violet 10.5: White Flare Booster Bundle (6-pack),White Flare Booster Bundle,824108,0.95,mapped,48.90
PokémonScarlet & Violet 10.5: White Flare Reshiram Elite Trainer Box,White Flare Elite Trainer Box,824089,0.95,mapped,71.90
PokémonScarlet & Violet 10: Destined Rivals - Team Rocket ex -purnukka,,832232,0.50,undecided,36.99
PokémonScarlet & Violet 10: Destined Rivals Booster,Destined Rivals Booster,818570,0.95,mapped,7.29
PokémonScarlet & Violet 4: Paradox Rift Booster,Paradox Rift Booster,728716,0.95,mapped,5.90
PokémonScarlet & Violet 7: Stellar Crown Elite Trainer Box,Stellar Crown Elite Trainer Box,776336,0.95,mapped,54.90
PokémonScarlet & Violet 9: Journey Together Booster,Journey Together Booster,805575,0.95,mapped,6.40
PokémonScarlet & Violet 9: Journey Together Mini Album + Booster,,,0.90,null_mapped,7.20
PokémonScarlet & Violet: Black Bolt SV11B Booster Box (Japanese),Black Bolt JP Booster Box,823792,0.95,mapped,99.90
PokémonScarlet & Violet: Glory of Team Rocket SV10 Booster Box (Japanese),The Glory of Team Rocket Booster Box,818039,0.95,mapped,109.90
PokémonScarlet & Violet: Paradise Dragona SV7a Booster Box (Japanese),Paradise Dragona Booster Box,781844,0.95,mapped,89.90
PokémonScarlet & Violet: Shiny Treasure ex SV4a Booster Box (Japanese),Shiny Treasure ex Booster Box,740461,0.95,mapped,169.90
PokémonScarlet & Violet: Super Electric Breaker SV8 Booster Box (Japanese),Super Electric Breaker Booster Box,789976,0.95,mapped,115.90
PokémonScarlet & Violet: Terastal Festival ex SV8a Booster Box (Japanese),Terastal Festival ex Booster Box,794934,0.95,mapped,127.90
PokémonScarlet & Violet: White Flare SV11W Booster Box (Japanese),White Flare JP Booster Box,823793,0.95,mapped,99.90
PokémonShimmering Skyline Sleeves (65-pack),,,0.95,null_mapped,9.90
PokémonSlashing Legends Ex Tin,,813962,0.50,undecided,28.99
PokémonStorm Emeralda Booster Box (Japanese),Storm Emeralda Booster Box,895668,0.95,mapped,219.90
PokémonSummer ex Tin box,,878505,0.45,undecided,39.90
PokémonTCG Adventtikalenteri 2025,,,0.95,null_mapped,59.90
PokémonTCG My first battle - Charmander & Squirtle,My First Battle: Charmander & Squirtle,721853,0.95,mapped,15.39
PokémonTCG My first battle - Pikachu & Bulbasaur,My First Battle: Bulbasaur & Pikachu,721852,0.95,mapped,15.39
PokémonTeam Rocket's Mewtwo ex League Battle Deck,Team Rocket's Mewtwo ex League Battle Deck,844435,0.95,mapped,49.99
PokémonTin Pokeball 25,,362931,0.50,undecided,22.69
PokémonTinkaton Deck Box,,,0.95,null_mapped,3.56
PokémonTrainer Toolkit 25,Trainer's Toolkit 2025,841988,0.90,mapped,50.09
PokémonUltra PRO: Elite Series Gengar 12 Pocket Zipper Binder,,,0.95,null_mapped,36.90
PokémonUltra Pro Charmander M2 Deck Box,,,0.95,null_mapped,42.90
PokémonVSTAR Universe - Booster-laatikko (japanilainen),VSTAR Universe Booster Box,681796,0.95,mapped,163.90
Portfolio 4-P Poke Pikachu Lenti,,,0.95,null_mapped,9.95
Prismatic Evolutions Booster Bundle,Prismatic Evolutions Booster Bundle,798924,0.95,mapped,90.00
Prismatic Evolutions Booster Pack,Prismatic Evolutions Booster,798923,0.95,mapped,20.00
Rapid Strike Urshifu VMAX League Battle Deck,Rapid Strike Urshifu VMAX League Battle Deck,574441,0.95,mapped,45.00
Scarlet & Violet,Scarlet & Violet Booster,692088,0.88,mapped,6.75
Scarlet & Violet Base Set Booster Box,Scarlet & Violet Booster Box,692092,0.95,mapped,199.95
Scarlet & Violet Booster Box (Base Set),Scarlet & Violet Booster Box,692092,0.95,mapped,3399.00
Scarlet & Violet Booster Pack,Scarlet & Violet Booster,692088,0.95,mapped,7.00
Scarlet & Violet: Destined Rivals,Destined Rivals Booster,818570,0.90,mapped,7.99
Scarlet & Violet: Destined Rivals booster,Destined Rivals Booster,818570,0.92,mapped,6.50
Scarlet & Violet: Journey Together,Journey Together Booster,805575,0.90,mapped,6.75
Scarlet & Violet: Journey Together booster,Journey Together Booster,805575,0.92,mapped,6.50
Scarlet & Violet: Paradox Rift,Paradox Rift Booster,728716,0.90,mapped,6.75
Scarlet & Violet: Stellar Crown,Stellar Crown Booster,776321,0.90,mapped,6.75
Scarlet & Violet: Surging Sparks sleeved booster,Surging Sparks Sleeved Booster,784946,0.95,mapped,6.90
Scarlet & Violet: Temporal Forces Boosteri,Temporal Forces Booster,750399,0.92,mapped,6.75
Scarlet & Violet: Temporal Forces sleeved booster,Temporal Forces Sleeved Booster,750400,0.95,mapped,5.50
Scarlet & Violet: Twilight Masquerade sleeved booster,Twilight Masquerade Sleeved Booster,761218,0.95,mapped,5.50
Scarlet &amp; Violet: Paradox Rift booster,Paradox Rift Booster,728716,0.95,mapped,4.90
Scarlet and Violet Booster Box (36 Packs),Scarlet & Violet Booster Box,692092,0.95,mapped,220.00
Shrouded Fable Booster Pack,Shrouded Fable Booster,770953,0.95,mapped,7.00
Shrouded Fable: Kingambit Illustration Collection,Shrouded Fable: Kingambit Illustration Collection,770967,0.95,mapped,49.90
Silver Tempest Booster Box,Silver Tempest Booster Box,672333,0.88,mapped,6499.00
Silver Tempest Booster Pack,Silver Tempest Booster,672323,0.90,mapped,15.00
