raw_name,proposed_name,cardmarket_product_id,confidence,status,observed_price
Pokémon SV8: Surging Sparks Sleeved Booster,Surging Sparks Sleeved Booster,784946,0.95,mapped,4.70
Pokémon SV9: Journey Together Booster,Journey Together Booster,805575,0.95,mapped,6.37
Pokémon SV9: Journey Together Booster Box,Journey Together Booster Box,805579,0.95,mapped,193.63
Pokémon SV9: Journey Together Enhanced Booster Box,Journey Together Enhanced Booster Box,805580,0.95,mapped,238.96
Pokémon SV9: Journey Together Sleeved Booster,Journey Together Sleeved Booster,805576,0.95,mapped,6.75
Pokémon SWSH10.5: Pokémon GO Booster,Pokémon GO Booster,653699,0.95,mapped,4.70
Pokémon SWSH10: Astral Radiance Booster,Astral Radiance Booster,611350,0.95,mapped,6.29
Pokémon SWSH10: Rebel Clash,Rebel Clash Booster,453278,0.85,mapped,6.29
Pokémon SWSH11: Lost Origin Booster,Lost Origin Booster,665527,0.95,mapped,5.18
Pokémon SWSH12.5: Crown Zenith Booster,Crown Zenith Booster,683006,0.95,mapped,5.50
Pokémon SWSH12: Silver Tempest Booster,Silver Tempest Booster,672323,0.95,mapped,7.09
Pokémon SWSH12: Silver Tempest Sleeved Booster,Silver Tempest Sleeved Booster,674699,0.95,mapped,4.70
Pokémon SWSH1: Sword & Shield Booster,Sword & Shield Booster,427151,0.95,mapped,7.89
Pokémon SWSH3: Darkness Ablaze Booster,Darkness Ablaze Booster,462244,0.95,mapped,5.50
Pokémon SWSH4.5: Shining Fates Booster,Shining Fates Booster,526125,0.95,mapped,7.89
Pokémon SWSH4: Vivid Voltage Booster,Vivid Voltage Booster,494514,0.95,mapped,7.89
Pokémon SWSH6: Chilling Reign Booster,Chilling Reign Booster,557969,0.95,mapped,12.90
Pokémon SWSH7.5: Celebrations Booster,Celebrations Booster,570888,0.95,mapped,10.28
Pokémon SWSH7: Evolving Skies Booster,Evolving Skies Booster,568764,0.95,mapped,15.86
Pokémon SWSH8: Fusion Strike Booster,Fusion Strike Booster,574591,0.95,mapped,5.50
Pokémon SWSH9: Brilliant Stars Booster,Brilliant Stars Booster,583513,0.95,mapped,5.50
Pokémon Scarlet & Violet 151 Booster Bundle,151 Booster Bundle,719695,0.95,mapped,150.00
Pokémon Scarlet & Violet Paradox Rift keräilykortti-boosteri,Paradox Rift Booster,728716,0.95,mapped,8.95
Pokémon Scarlet & Violet Stellar Crown keräilykortti-boosteri,Stellar Crown Booster,776321,0.95,mapped,10.95
Pokémon Scarlet & Violet base Booster Box,Scarlet & Violet Booster Box,692092,0.95,mapped,193.63
Pokémon Scarlet ex Japanese Booster (sv1S),Scarlet ex Booster,689085,0.95,mapped,5.50
Pokémon Scarlet ex Japanese Booster Box,Scarlet ex Booster Box,689087,0.95,mapped,126.69
Pokémon Scarlet ex Korean Booster,,,0.90,null_mapped,2.79
Pokémon Shiny Treasure ex Japanese Booster (sv4a),Shiny Treasure ex Booster,740460,0.95,mapped,10.28
Pokémon Shiny Treasure ex Japanese Booster Box (sv4a),Shiny Treasure ex Booster Box,740461,0.95,mapped,102.79
Pokémon Snow Hazard Japanese Booster (sv2P),Snow Hazard Booster,702930,0.95,mapped,3.90
Pokémon Snow Hazard Japanese Booster Box,Snow Hazard Booster Box,702932,0.95,mapped,103.51
