raw_name,proposed_name,cardmarket_product_id,confidence,status,observed_price
Pokemon pitch black checklane,,885534,0.50,undecided,8.95
Pokemon pitch black elite trainer box,Pitch Black Elite Trainer Box,885542,0.95,mapped,69.95
Pokemon pitch black premium checklane,,885535,0.50,undecided,11.95
"Pokemon värityskirja, 40-sivua",,,0.98,null_mapped,6.90
PokemonBrilliant StarsBooster,Brilliant Stars Booster,583513,0.88,mapped,21.03
PokemonCollectionCyclize EX,Cyclizar ex Box,698558,0.88,mapped,42.13
PokemonCollectionHoundstone ex,Houndstone ex Box,779167,0.90,mapped,36.86
PokemonCollectionHoundstone exCase (6),Houndstone ex Box,779167,0.85,mapped,242.52
PokemonCollectionMabosstiff ex,Mabosstiff ex Box,749087,0.90,mapped,31.59
PokemonCollectionPalafin ex,Palafin ex Box,764569,0.90,mapped,31.59
PokemonCollectionPalafin exCase (6),Palafin ex Box,764569,0.85,mapped,210.88
PokemonGrafaiai exBox,Grafaiai ex Box,752019,0.92,mapped,31.59
PokemonLeague Battle DeckShadow Rider / Ice Rider1 of 2 random selection,,,0.92,null_mapped,26.32
PokemonLeague Battle DeckShadow Rider / Ice RiderBooster Box (6),,,0.95,null_mapped,158.14
PokemonObsidian Flames3-Pack BlisterEevee / Houndstone1 out of 2 random selection,,,0.92,null_mapped,31.59
PokemonObsidian FlamesElite Trainer Box,Obsidian Flames Elite Trainer Box,715464,0.88,mapped,337.43
PokemonPaldean FatesTech Sticker CollectionFidough / Greavard / Maschiff1 of 3 random selection,,,0.92,null_mapped,79.04
PokemonParadox Rift3-pack BlistersArctibax / Cetitan1 of 2 random selection,,,0.92,null_mapped,26.32
PokemonPremium CollectionOgerpon ex,Ogerpon ex Premium Collection,786054,0.90,mapped,52.67
PokemonScarlet & Violet36 display,Scarlet & Violet Booster Box,692092,0.88,mapped,421.79
PokemonStellar Crown3-pack BlistersLatias / Tinkaton1 of 2 random selection,,,0.92,null_mapped,36.86
PokemonTemporal Forces3-pack BlistersCleffa / Cyclizar1 of 2 random selection,,,0.92,null_mapped,26.32
PokemonTin BoxPaldea Partners1 of 3 random selection,,,0.92,null_mapped,36.86
"PokÃ©mon ME04 Chaos Rising Booster -kerÃ¤ilykortit, 36-PACK",Chaos Rising Booster Box,877295,0.92,mapped,250.00
PokÃ©mon Prismatic Evolution boosteri,Prismatic Evolutions Booster,798923,0.90,mapped,20.95
PokÃ©mon SV10 Scarlet & violet Destined Rivals boosteri,Destined Rivals Booster,818570,0.95,mapped,9.95
PokÃ©mon Scarlet & Violet Paradox Rift kerÃ¤ilykortti-boosteri,Paradox Rift Booster,728716,0.92,mapped,8.95
PokÃ©mon Scarlet & Violet Stellar Crown kerÃ¤ilykortti-boosteri,Stellar Crown Booster,776321,0.92,mapped,10.95
PokÃ©mon Sword & Shield Stellar Crown boosteripakkaus,Stellar Crown Booster,776321,0.88,mapped,14.95
PokÃ©mon TCG  Scarlet & Violet Stellar Crown Mini Portfolio & Boosteri Pakkaus,,,0.88,null_mapped,12.95
PokÃ©mon TCG Scarlet & Violet Journey Together Enhanced kerÃ¤ilykortti-boosteri,Journey Together Booster,805575,0.85,mapped,6.95
PokÃ©mon TCG Scarlet & Violet Temporal Forces Boosteri,Temporal Forces Booster,750399,0.92,mapped,9.95
