raw_name,proposed_name,cardmarket_product_id,confidence,status,observed_price
Pokemon Box Premium EX,,884751,0.40,undecided,64.95
Pokemon Buizel figuuri ja Clip'n' Go - poke pallo,,,0.97,null_mapped,16.90
Pokemon Bulbasaur Clip-on maskotti pehmo,,,0.97,null_mapped,15.95
Pokemon Bulbasaur figuuri ja Clip 'n' go poke pallo,,,0.97,null_mapped,16.90
Pokemon Bulbasaur pehmolelu 20cm,,,0.97,null_mapped,26.90
Pokemon Carry Case Playset Leikkireppu Beach Battle,,,0.97,null_mapped,69.90
Pokemon Chaos RIsing booster box,Chaos Rising Booster Box,877295,0.94,mapped,229.90
Pokemon Chaos Rising Build & Battle,Chaos Rising Build & Battle Box,877282,0.92,mapped,54.95
Pokemon Charizard Battle figuuri,,,0.97,null_mapped,22.90
Pokemon Charmander Clip-on maskotti pehmo,,,0.97,null_mapped,15.95
Pokemon Charmander pehmolelu 20cm,,,0.97,null_mapped,22.90
Pokemon Charmander pehmolelu 30cm,,,0.97,null_mapped,34.90
Pokemon Charmander suuri pehmolelu 48cm,,,0.97,null_mapped,65.90
Pokemon Chespin figuuri ja Clip'n' Go - poke pallo,,,0.97,null_mapped,18.90
Pokemon Clip 'n' Go Pokepallo ja Hahmo Lajitelma,,,0.97,null_mapped,15.90
Pokemon Collector's Chest Fall 2025,Fall 2025 Collector Chest,845850,0.92,mapped,49.90
Pokemon Collector's Chest Gardevoir & Lucario -keräilykortit + salkku,Fall 2025 Collector Chest,845850,0.85,mapped,52.90
Pokemon Cyndaquil figuuri ja Clip'n' Go - poke pallo,,,0.97,null_mapped,16.90
Pokemon Day 2026,Pokémon Day 2026 Collection,859327,0.88,mapped,29.90
Pokemon Deck Champ World,,,0.40,undecided,32.95
Pokemon Deluxe figuuri Joulukalenteri 2025,,,0.97,null_mapped,69.90
Pokemon Dragonite pehmolelu 30cm,,,0.97,null_mapped,34.90
Pokemon Eevee -pehmolelu 27cm,,,0.97,null_mapped,34.90
Pokemon Eevee 20cm pehmolelu,,,0.97,null_mapped,22.90
Pokemon Eevee suuri pehmolelu 48cm,,,0.97,null_mapped,65.90
Pokemon Enchanted 2-Pack Blister,,876862,0.55,undecided,22.95
Pokemon Enhanced 2-pack,,876862,0.60,undecided,17.95
Pokemon Epic Battle Figure Skeledirge Figuuri 20cm,,,0.97,null_mapped,35.90
Pokemon Espeon pehmolelu 20cm,,,0.97,null_mapped,25.90
Pokemon First Partner Illustration Collection - Series 2,First Partner Illustration Collection Series 2,882852,0.94,mapped,49.90
Pokemon First Partner Illustration Collection - Series 3,First Partner Illustration Collection Series 3,888922,0.94,mapped,49.90
Pokemon First Partner Illustration Collection Series 2,First Partner Illustration Collection Series 2,882852,0.94,mapped,34.90
Pokemon Flareon pehmolelu 20cm,,,0.97,null_mapped,25.90
Pokemon Froakie figuuri ja Clip'n' Go - poke pallo,,,0.97,null_mapped,18.90
